<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MTLRP,D,20110421,000000,562.7400000,562.7400000,477.0200000,480.0000000,66330
MTLRP,D,20110422,000000,480.0000000,484.0000000,480.0000000,482.5000000,27720
MTLRP,D,20110425,000000,480.0000000,498.6100000,480.0000000,485.0000000,6330
MTLRP,D,20110426,000000,480.0500000,483.0000000,472.0000000,474.0000000,63560
MTLRP,D,20110427,000000,482.0000000,482.0000000,465.1000000,470.0000000,42150
MTLRP,D,20110428,000000,465.0100000,474.9700000,462.0000000,469.9900000,24700
MTLRP,D,20110429,000000,460.1100000,478.9900000,460.1100000,463.0000000,5390
MTLRP,D,20110503,000000,460.1100000,464.9700000,450.0000000,450.0000000,18860
MTLRP,D,20110504,000000,448.7000000,448.7000000,430.0000000,430.0000000,44950
MTLRP,D,20110505,000000,435.0000000,440.0000000,432.0000000,432.0000000,151830
MTLRP,D,20110506,000000,440.0000000,442.0000000,434.0000000,442.0000000,21970
MTLRP,D,20110510,000000,447.0000000,447.0000000,443.9900000,445.0000000,12400
MTLRP,D,20110511,000000,445.0200000,451.0000000,445.0000000,446.0000000,29010
MTLRP,D,20110512,000000,442.0000000,459.0000000,433.3400000,453.7000000,10660
MTLRP,D,20110513,000000,445.9900000,446.0000000,435.0000000,444.4800000,3950
MTLRP,D,20110516,000000,443.9000000,451.0000000,441.1000000,443.0000000,61590
MTLRP,D,20110517,000000,430.0100000,442.8700000,421.0000000,421.0000000,10530
MTLRP,D,20110518,000000,420.0000000,445.9900000,419.0000000,432.0000000,18780
MTLRP,D,20110519,000000,432.0000000,439.0000000,422.0000000,428.0000000,43140
MTLRP,D,20110520,000000,429.9900000,446.0000000,427.0000000,427.0000000,7860
MTLRP,D,20110523,000000,420.0000000,426.0000000,406.8500000,410.0000000,21080
MTLRP,D,20110524,000000,414.9500000,420.0000000,414.0000000,420.0000000,13580
MTLRP,D,20110525,000000,417.0300000,424.9800000,412.0000000,416.6600000,3650
MTLRP,D,20110526,000000,431.7400000,431.7400000,417.0000000,417.0000000,6290
MTLRP,D,20110527,000000,425.4600000,431.3500000,416.1800000,424.0000000,30990
MTLRP,D,20110530,000000,425.9000000,434.9900000,420.8000000,425.0000000,1360
MTLRP,D,20110531,000000,428.0000000,441.0000000,428.0000000,437.0000000,45530
MTLRP,D,20110601,000000,435.0000000,439.0000000,434.0000000,436.9800000,16870
MTLRP,D,20110602,000000,428.0000000,439.0000000,421.0000000,439.0000000,2800
MTLRP,D,20110603,000000,431.0500000,440.0000000,431.0000000,434.9000000,3340
MTLRP,D,20110606,000000,426.0200000,434.0000000,420.5000000,434.0000000,350
MTLRP,D,20110607,000000,422.2300000,431.9800000,422.0000000,430.0000000,5350
MTLRP,D,20110608,000000,428.0000000,439.9900000,425.2300000,430.0000000,31510
MTLRP,D,20110609,000000,433.9900000,434.0000000,429.9300000,433.0000000,12290
MTLRP,D,20110610,000000,434.0000000,434.0000000,430.7400000,433.0000000,43110
MTLRP,D,20110614,000000,431.0100000,431.0100000,430.0000000,430.0000000,480
MTLRP,D,20110615,000000,430.0000000,432.0000000,425.0000000,429.9900000,9290
MTLRP,D,20110616,000000,428.5000000,430.0000000,423.0000000,425.0000000,1050
MTLRP,D,20110617,000000,423.5400000,429.3900000,421.0000000,421.2400000,640
MTLRP,D,20110620,000000,429.2900000,429.2900000,420.2500000,421.0500000,940
MTLRP,D,20110621,000000,429.9800000,429.9900000,421.5000000,421.5500000,3430
MTLRP,D,20110622,000000,430.9900000,431.0000000,423.0000000,425.5000000,7950
MTLRP,D,20110623,000000,427.0000000,427.0000000,422.0000000,422.0000000,5160
MTLRP,D,20110624,000000,424.0100000,427.0000000,421.0000000,423.3200000,1070
MTLRP,D,20110627,000000,421.1000000,422.0000000,419.9900000,419.9900000,1060
MTLRP,D,20110628,000000,420.0700000,433.9900000,420.0000000,423.6000000,3080
