<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RASP,D,20061114,000000,57.9000000,68.8000000,57.9000000,63.9800000,47200
RASP,D,20061115,000000,63.0000000,63.0000000,62.9900000,62.9900000,3100
RASP,D,20061116,000000,62.7500000,62.7500000,60.0300000,60.0300000,900
RASP,D,20061117,000000,60.0400000,62.7400000,60.0400000,62.7400000,300
RASP,D,20061120,000000,62.7400000,62.7400000,60.0700000,60.0700000,600
RASP,D,20061123,000000,62.0000000,62.0000000,62.0000000,62.0000000,300
RASP,D,20061124,000000,61.0000000,61.1200000,60.1000000,60.1000000,50500
RASP,D,20061127,000000,60.0700000,62.0000000,60.0300000,62.0000000,3000
RASP,D,20061129,000000,62.0000000,62.0000000,62.0000000,62.0000000,300
RASP,D,20061130,000000,62.0000000,62.0000000,62.0000000,62.0000000,100
RASP,D,20061201,000000,60.1000000,60.1000000,50.0000000,55.1300000,83100
RASP,D,20061204,000000,55.0500000,57.6000000,55.0000000,55.0000000,12900
RASP,D,20061205,000000,54.0000000,55.5000000,51.2000000,51.2000000,12400
RASP,D,20061206,000000,52.0000000,53.0000000,51.0000000,51.0000000,45800
RASP,D,20061207,000000,50.3100000,52.3800000,50.3100000,51.0000000,11800
RASP,D,20061208,000000,52.3000000,52.4900000,51.6500000,51.6500000,2800
RASP,D,20061211,000000,52.4800000,52.5000000,51.2500000,51.2500000,21700
RASP,D,20061212,000000,51.7000000,51.7000000,51.0000000,51.3000000,1700
RASP,D,20061213,000000,51.8000000,51.8000000,50.2600000,50.2600000,3400
RASP,D,20061214,000000,50.3100000,51.8000000,50.3000000,51.8000000,10000
RASP,D,20061215,000000,52.0000000,52.0000000,50.5000000,51.7800000,1700
RASP,D,20061218,000000,51.7800000,51.7800000,50.2500000,51.2000000,19900
RASP,D,20061219,000000,50.8000000,51.4500000,50.0000000,50.0000000,15900
RASP,D,20061220,000000,51.2800000,51.5000000,51.2800000,51.5000000,19500
RASP,D,20061221,000000,50.4800000,50.4800000,49.5000000,50.0000000,54700
RASP,D,20061222,000000,50.0000000,50.4000000,49.7200000,49.7200000,1300
RASP,D,20061225,000000,50.3900000,50.9500000,48.5000000,50.0000000,2700
