<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,D,20000105,000000,1150.0000000,1264.8800000,1080.0000000,1218.0100000,29819
SBER,D,20000106,000000,1230.0000000,1280.0000000,1230.0000000,1267.0000000,14907
SBER,D,20000110,000000,1325.0000000,1389.5000000,1255.0000000,1341.0000000,64304
SBER,D,20000111,000000,1335.0000000,1340.0000000,1190.0000000,1217.2000000,35738
SBER,D,20000112,000000,1141.0000000,1310.0000000,1102.0000000,1265.1000000,45148
SBER,D,20000113,000000,1260.0000000,1490.0000000,1246.0000000,1405.0000000,69277
SBER,D,20000114,000000,1450.0000000,1539.0000000,1407.0000000,1499.0000000,40991
SBER,D,20000117,000000,1480.0000000,1543.0000000,1360.0100000,1376.0000000,40830
SBER,D,20000118,000000,1360.0000000,1480.0000000,1312.0000000,1315.0000000,48508
SBER,D,20000119,000000,1320.0000000,1330.0000000,1206.0000000,1216.0000000,41718
SBER,D,20000120,000000,1275.0000000,1337.0000000,1256.0100000,1337.0000000,33757
SBER,D,20000121,000000,1290.0200000,1390.0000000,1285.0000000,1366.0000000,42254
SBER,D,20000124,000000,1373.0000000,1390.0000000,1230.0100000,1235.0500000,35438
SBER,D,20000125,000000,1180.0000000,1240.0000000,1130.0000000,1190.0000000,48714
SBER,D,20000126,000000,1199.0000000,1264.9000000,1176.0000000,1250.0000000,27749
SBER,D,20000127,000000,1280.0000000,1335.0000000,1256.0000000,1325.0000000,38313
SBER,D,20000128,000000,1315.0000000,1347.0000000,1195.0000000,1200.0500000,43988
SBER,D,20000131,000000,1151.0000000,1182.0000000,1119.0000000,1137.0000000,26683
SBER,D,20000201,000000,1160.0000000,1210.0000000,1117.0000000,1127.0000000,27271
SBER,D,20000202,000000,1150.0000000,1186.0000000,1117.5000000,1143.0000000,26270
SBER,D,20000203,000000,1140.0000000,1227.0000000,1117.0000000,1209.0000000,35643
SBER,D,20000204,000000,1220.0000000,1257.0000000,1215.0000000,1235.0000000,17039
SBER,D,20000207,000000,1245.0000000,1279.9800000,1215.0200000,1236.0100000,28329
SBER,D,20000208,000000,1244.0000000,1310.0000000,1240.0000000,1303.0000000,35485
SBER,D,20000209,000000,1330.0000000,1380.0000000,1302.0100000,1307.0000000,45632
SBER,D,20000210,000000,1280.0000000,1330.0000000,1278.0000000,1300.0000000,25319
SBER,D,20000211,000000,1340.0000000,1340.0000000,1285.0000000,1300.1000000,19137
SBER,D,20000214,000000,1355.0000000,1447.0000000,1320.0000000,1321.0100000,33705
SBER,D,20000215,000000,1331.0000000,1331.0000000,1270.0000000,1270.0000000,17500
SBER,D,20000216,000000,1290.0000000,1337.0000000,1290.0000000,1335.0000000,28356
SBER,D,20000217,000000,1320.0000000,1393.9000000,1300.0000000,1382.0500000,30512
SBER,D,20000218,000000,1365.0100000,1384.9000000,1355.0000000,1372.0000000,14073
SBER,D,20000221,000000,1330.0000000,1366.0000000,1320.0000000,1354.0500000,16678
SBER,D,20000222,000000,1365.0000000,1385.0000000,1361.0500000,1370.0000000,23347
SBER,D,20000223,000000,1379.0000000,1421.0000000,1375.0000000,1395.0000000,27156
SBER,D,20000224,000000,1420.0000000,1447.0000000,1415.0000000,1430.0000000,17865
SBER,D,20000225,000000,1415.0000000,1425.0000000,1350.0000000,1365.0000000,24106
SBER,D,20000228,000000,1330.0000000,1360.0000000,1286.0000000,1296.0000000,22168
SBER,D,20000229,000000,1330.0000000,1363.0000000,1305.0000000,1348.0000000,21619
SBER,D,20000301,000000,1385.0000000,1400.0000000,1363.0000000,1392.0000000,19359
SBER,D,20000302,000000,1396.0000000,1396.0000000,1355.0000000,1369.0000000,19688
SBER,D,20000303,000000,1374.0000000,1413.9000000,1345.0000000,1409.0000000,19907
SBER,D,20000306,000000,1425.0000000,1445.0000000,1400.0000000,1405.0500000,29750
SBER,D,20000307,000000,1400.0000000,1480.0000000,1382.0000000,1470.0100000,32704
SBER,D,20000309,000000,1510.0000000,1570.0000000,1505.0000000,1536.0300000,56209
SBER,D,20000310,000000,1570.0000000,1637.0100000,1515.0000000,1620.0000000,107051
SBER,D,20000313,000000,1567.0000000,1620.0000000,1505.0000000,1525.0000000,49510
SBER,D,20000314,000000,1568.0000000,1600.0000000,1552.0000000,1567.0100000,65553
SBER,D,20000315,000000,1565.0000000,1570.0000000,1477.0000000,1493.6000000,83821
SBER,D,20000316,000000,1519.0000000,1534.5000000,1416.0000000,1435.0000000,63813
SBER,D,20000317,000000,1470.0000000,1495.0000000,1413.0000000,1424.9000000,37322
SBER,D,20000320,000000,1420.0000000,1420.0000000,1367.0000000,1399.0000000,29477
SBER,D,20000321,000000,1383.1000000,1460.0000000,1370.0300000,1460.0000000,23107
SBER,D,20000322,000000,1500.0000000,1534.0000000,1470.0100000,1510.0000000,36311
SBER,D,20000323,000000,1540.0000000,1595.0000000,1502.0000000,1529.0000000,79072
SBER,D,20000324,000000,1566.0000000,1589.0000000,1515.0000000,1522.0000000,47216
SBER,D,20000327,000000,1570.0000000,1585.0000000,1430.0000000,1432.0000000,42468
SBER,D,20000328,000000,1439.0000000,1455.0000000,1390.0000000,1395.0000000,20141
SBER,D,20000329,000000,1400.0000000,1440.0000000,1400.0000000,1440.0000000,11175
SBER,D,20000330,000000,1430.0000000,1430.0000000,1362.0000000,1385.0000000,16526
SBER,D,20000331,000000,1361.0000000,1420.0000000,1320.0000000,1420.0000000,20814
SBER,D,20000403,000000,1422.0000000,1422.0000000,1370.0000000,1385.0000000,16938
SBER,D,20000404,000000,1390.0000000,1546.0000000,1375.0000000,1521.0000000,84058
SBER,D,20000405,000000,1475.1000000,1510.0000000,1387.5000000,1398.0000000,48853
SBER,D,20000406,000000,1410.0000000,1462.9900000,1410.0000000,1425.0100000,23364
SBER,D,20000407,000000,1416.0000000,1430.0000000,1385.0000000,1416.0000000,19315
SBER,D,20000410,000000,1400.0000000,1550.0000000,1400.0000000,1550.0000000,41139
