<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SNGSP,D,20000105,000000,2.7900000,3.0490000,2.7500000,3.0490000,235100
SNGSP,D,20000106,000000,3.0500000,3.1100000,3.0200000,3.0550000,603000
SNGSP,D,20000110,000000,3.1500000,3.2600000,2.6300000,2.9100000,4816600
SNGSP,D,20000111,000000,2.9000000,2.9000000,2.6510000,2.7000000,1462800
SNGSP,D,20000112,000000,2.5990000,3.1000000,2.5100000,3.0000000,2804100
SNGSP,D,20000113,000000,2.9500000,3.1890000,2.9500000,3.1410000,1674100
SNGSP,D,20000114,000000,3.1400000,3.4100000,3.1400000,3.3980000,953900
SNGSP,D,20000117,000000,3.3900000,3.4900000,3.2040000,3.2850000,1770400
SNGSP,D,20000118,000000,3.3250000,3.3750000,3.2250000,3.2250000,733700
SNGSP,D,20000119,000000,3.1000000,3.1000000,2.8520000,3.0000000,732000
SNGSP,D,20000120,000000,3.0500000,3.2500000,2.9900000,3.1800000,1768000
SNGSP,D,20000121,000000,3.1800000,3.2550000,3.1300000,3.1300000,2744700
SNGSP,D,20000124,000000,3.1230000,3.1800000,3.0300000,3.0600000,1163900
SNGSP,D,20000125,000000,2.9000000,3.0100000,2.8020000,2.8550000,1371600
SNGSP,D,20000126,000000,2.5300000,2.9290000,2.5300000,2.9000000,884700
SNGSP,D,20000127,000000,2.9800000,2.9800000,2.8350000,2.9450000,1941500
SNGSP,D,20000128,000000,2.9100000,2.9700000,2.7100000,2.7800000,1673700
SNGSP,D,20000131,000000,2.7000000,2.7000000,2.5160000,2.5800000,1466500
SNGSP,D,20000201,000000,2.6200000,2.7200000,2.5500000,2.5500000,1008600
SNGSP,D,20000202,000000,2.5600000,2.6000000,2.4500000,2.4700000,1139000
SNGSP,D,20000203,000000,2.5500000,2.6000000,2.4500000,2.5500000,3166700
SNGSP,D,20000204,000000,2.6200000,2.6200000,2.5510000,2.6200000,579700
SNGSP,D,20000207,000000,2.6750000,2.6750000,2.5410000,2.5410000,580700
SNGSP,D,20000208,000000,2.5600000,2.8080000,2.5600000,2.8080000,2216200
SNGSP,D,20000209,000000,2.9700000,2.9700000,2.8000000,2.8000000,1571900
SNGSP,D,20000210,000000,2.6760000,2.8000000,2.6750000,2.7400000,1121200
SNGSP,D,20000211,000000,2.7810000,2.8560000,2.7000000,2.8200000,462900
SNGSP,D,20000214,000000,2.9800000,2.9800000,2.7700000,2.7750000,721500
SNGSP,D,20000215,000000,2.7000000,2.7000000,2.5980000,2.6000000,322300
SNGSP,D,20000216,000000,2.6800000,2.6800000,2.5900000,2.6040000,964100
SNGSP,D,20000217,000000,2.6350000,2.6600000,2.6010000,2.6600000,1051700
SNGSP,D,20000218,000000,2.6800000,2.6800000,2.5900000,2.5900000,707000
SNGSP,D,20000221,000000,2.5000000,2.5800000,2.5000000,2.5800000,132400
SNGSP,D,20000222,000000,2.5500000,2.5800000,2.5450000,2.5500000,145500
SNGSP,D,20000223,000000,2.5940000,2.5950000,2.5500000,2.5500000,1116500
SNGSP,D,20000224,000000,2.5700000,2.5800000,2.4490000,2.4490000,1258800
SNGSP,D,20000225,000000,2.4500000,2.4500000,2.2400000,2.2940000,823000
SNGSP,D,20000228,000000,2.2970000,2.2970000,2.0500000,2.0700000,1221100
SNGSP,D,20000229,000000,2.2300000,2.3500000,2.1900000,2.2800000,1435100
SNGSP,D,20000301,000000,2.4470000,2.4500000,2.3100000,2.4390000,2441100
SNGSP,D,20000302,000000,2.4800000,2.5800000,2.4060000,2.5550000,4469100
SNGSP,D,20000303,000000,2.5800000,2.7200000,2.5200000,2.6980000,4169000
SNGSP,D,20000306,000000,2.7300000,2.7370000,2.6200000,2.6360000,1597600
SNGSP,D,20000307,000000,2.6400000,2.7290000,2.6100000,2.7150000,1591000
SNGSP,D,20000309,000000,2.7800000,2.9400000,2.7800000,2.8110000,3454800
SNGSP,D,20000310,000000,2.8700000,2.9500000,2.7500000,2.9000000,4931500
SNGSP,D,20000313,000000,2.8200000,2.8700000,2.5810000,2.6400000,1741200
SNGSP,D,20000314,000000,2.7600000,2.8200000,2.7200000,2.8040000,922200
SNGSP,D,20000315,000000,2.7990000,2.8000000,2.6420000,2.7130000,1304600
SNGSP,D,20000316,000000,2.7030000,2.7150000,2.6800000,2.7010000,944300
SNGSP,D,20000317,000000,2.8500000,2.8500000,2.6740000,2.7120000,2151000
SNGSP,D,20000320,000000,2.6310000,2.6990000,2.6110000,2.6990000,477600
SNGSP,D,20000321,000000,2.5920000,2.6480000,2.5910000,2.6000000,642400
SNGSP,D,20000322,000000,2.6110000,2.7400000,2.6000000,2.6800000,1406400
SNGSP,D,20000323,000000,2.7800000,2.8300000,2.7300000,2.7500000,2643800
SNGSP,D,20000324,000000,2.8400000,2.8400000,2.7010000,2.7200000,2170000
SNGSP,D,20000327,000000,2.7600000,2.9000000,2.6700000,2.6800000,3918000
SNGSP,D,20000328,000000,2.6150000,2.6750000,2.5600000,2.5600000,799000
SNGSP,D,20000329,000000,2.5500000,2.6650000,2.5500000,2.6500000,525400
SNGSP,D,20000330,000000,2.6010000,2.6010000,2.5300000,2.5500000,617800
SNGSP,D,20000331,000000,2.5400000,2.7350000,2.5000000,2.7350000,1840100
SNGSP,D,20000403,000000,2.6710000,2.7400000,2.5000000,2.7000000,1406100
SNGSP,D,20000404,000000,2.6710000,2.7690000,2.6610000,2.7610000,1466700
SNGSP,D,20000405,000000,2.7200000,2.7400000,2.6000000,2.6500000,1330600
SNGSP,D,20000406,000000,2.7100000,2.7600000,2.6990000,2.7400000,840400
SNGSP,D,20000407,000000,2.7400000,3.1600000,2.6900000,3.0550000,10214500
SNGSP,D,20000410,000000,3.0700000,3.4490000,3.0000000,3.4240000,10695600
SNGSP,D,20000411,000000,3.3500000,3.4900000,3.3400000,3.4740000,7251200
SNGSP,D,20000412,000000,3.4660000,3.5980000,3.4600000,3.5710000,2971100
SNGSP,D,20000413,000000,3.5100000,3.5700000,3.4710000,3.4870000,8866900
SNGSP,D,20000414,000000,3.5000000,3.7100000,3.4990000,3.5400000,3371700
SNGSP,D,20000417,000000,3.2300000,3.3500000,3.0000000,3.3000000,4299400
SNGSP,D,20000418,000000,3.3500000,3.4770000,3.1800000,3.3000000,1585300
SNGSP,D,20000419,000000,3.3500000,3.4500000,3.2500000,3.3090000,3332900
SNGSP,D,20000420,000000,3.3000000,3.4980000,3.3000000,3.4980000,2873300
SNGSP,D,20000421,000000,3.5600000,3.7950000,3.5600000,3.6950000,2661300
SNGSP,D,20000424,000000,3.6500000,3.6500000,3.5000000,3.5540000,790700
SNGSP,D,20000425,000000,3.6500000,3.7950000,3.6300000,3.7450000,2623500
SNGSP,D,20000426,000000,3.8000000,3.8600000,3.7600000,3.8160000,5005800
SNGSP,D,20000427,000000,3.8010000,3.9800000,3.7800000,3.8880000,3011200
SNGSP,D,20000428,000000,3.9000000,4.1280000,3.9000000,4.0600000,6007100
SNGSP,D,20000503,000000,4.1000000,4.1900000,4.0620000,4.0620000,489300
SNGSP,D,20000504,000000,4.0600000,4.0600000,4.0000000,4.0470000,697300
SNGSP,D,20000505,000000,4.0600000,4.1700000,4.0470000,4.1500000,1355300
SNGSP,D,20000506,000000,4.2000000,4.3200000,4.1610000,4.2840000,1423200
SNGSP,D,20000510,000000,4.3300000,4.4100000,4.3000000,4.3400000,2106400
SNGSP,D,20000511,000000,4.3200000,4.3200000,4.2130000,4.2850000,1767100
SNGSP,D,20000512,000000,4.3500000,4.3500000,4.1020000,4.2250000,905500
SNGSP,D,20000515,000000,4.2300000,4.2300000,4.1120000,4.1200000,1251000
SNGSP,D,20000516,000000,4.1330000,4.2990000,4.1320000,4.2990000,1739700
SNGSP,D,20000517,000000,4.1900000,4.2100000,4.0000000,4.0100000,3706100
SNGSP,D,20000518,000000,3.8000000,4.0700000,3.7100000,4.0050000,3327000
SNGSP,D,20000519,000000,3.9000000,3.9300000,3.5500000,3.6830000,894400
SNGSP,D,20000522,000000,3.6000000,3.7000000,3.4890000,3.5600000,423400
SNGSP,D,20000523,000000,3.4800000,3.5700000,2.9000000,3.0200000,1014200
SNGSP,D,20000524,000000,2.9000000,2.9080000,2.5000000,2.8300000,1421600
SNGSP,D,20000525,000000,3.0000000,3.1800000,2.8000000,3.1600000,1081100
SNGSP,D,20000526,000000,3.0500000,3.6300000,3.0500000,3.5970000,2056800
SNGSP,D,20000529,000000,3.6450000,3.7000000,3.4700000,3.5000000,1903400
SNGSP,D,20000530,000000,3.5200000,3.7200000,3.5200000,3.6500000,835000
SNGSP,D,20000531,000000,3.7500000,3.7900000,3.6850000,3.7000000,667800
SNGSP,D,20000601,000000,3.8000000,3.8380000,3.7650000,3.8000000,687700
SNGSP,D,20000602,000000,3.7800000,3.9150000,3.7320000,3.9000000,1444200
SNGSP,D,20000605,000000,3.9500000,3.9980000,3.8500000,3.8700000,1049300
SNGSP,D,20000606,000000,3.7600000,3.8700000,3.5700000,3.5900000,672700
SNGSP,D,20000607,000000,3.6000000,3.7500000,3.5210000,3.7500000,1035700
SNGSP,D,20000608,000000,3.7700000,3.8900000,3.7400000,3.8100000,480400
SNGSP,D,20000609,000000,3.7500000,3.8400000,3.7050000,3.7700000,995800
SNGSP,D,20000613,000000,3.7000000,3.7990000,3.7000000,3.7000000,167300
SNGSP,D,20000614,000000,3.7000000,3.7900000,3.6660000,3.7100000,255300
SNGSP,D,20000615,000000,3.7000000,3.7800000,3.7000000,3.7110000,317600
SNGSP,D,20000616,000000,3.7600000,3.8100000,3.7500000,3.8040000,996200
SNGSP,D,20000619,000000,3.8000000,3.8000000,3.7400000,3.7500000,123700
SNGSP,D,20000620,000000,3.7400000,3.7500000,3.6000000,3.6000000,297200
SNGSP,D,20000621,000000,3.5500000,3.6000000,3.3800000,3.3800000,477200
SNGSP,D,20000622,000000,3.5000000,3.5700000,3.4700000,3.5700000,417200
SNGSP,D,20000623,000000,3.4500000,3.6400000,3.4500000,3.6000000,336100
SNGSP,D,20000626,000000,3.5300000,3.5300000,3.4700000,3.5000000,669800
SNGSP,D,20000627,000000,3.5000000,3.5000000,3.2510000,3.2510000,888400
SNGSP,D,20000628,000000,3.2700000,3.3500000,3.2700000,3.2850000,737600
SNGSP,D,20000629,000000,3.3000000,3.3000000,2.9700000,2.9850000,2258600
SNGSP,D,20000630,000000,3.1600000,3.2400000,3.1200000,3.2200000,431600
SNGSP,D,20000703,000000,3.3000000,3.3500000,3.2600000,3.3200000,356500
SNGSP,D,20000704,000000,3.4000000,3.4800000,3.3810000,3.3900000,505200
SNGSP,D,20000705,000000,3.3330000,3.3620000,3.2850000,3.2850000,932300
SNGSP,D,20000706,000000,3.2800000,3.4480000,3.2700000,3.4100000,943100
SNGSP,D,20000707,000000,3.3650000,3.5900000,3.3650000,3.5300000,1603900
SNGSP,D,20000710,000000,3.5700000,3.5900000,3.5000000,3.5010000,897700
SNGSP,D,20000711,000000,3.5100000,3.5100000,3.3010000,3.4100000,1284800
SNGSP,D,20000712,000000,3.4850000,3.5000000,3.3810000,3.4610000,392000
SNGSP,D,20000713,000000,3.5000000,3.5700000,3.4620000,3.5140000,342900
SNGSP,D,20000714,000000,3.4800000,3.5890000,3.4610000,3.5890000,1145400
SNGSP,D,20000717,000000,3.5900000,3.6200000,3.5500000,3.5500000,869400
SNGSP,D,20000718,000000,3.5100000,3.5860000,3.4800000,3.5100000,803600
SNGSP,D,20000719,000000,3.5800000,3.5800000,3.4500000,3.4900000,494300
SNGSP,D,20000720,000000,3.4380000,3.5200000,3.4380000,3.4800000,323100
SNGSP,D,20000721,000000,3.5590000,3.5590000,3.4700000,3.4700000,244600
SNGSP,D,20000724,000000,3.4990000,3.5100000,3.4670000,3.4770000,458800
SNGSP,D,20000725,000000,3.4730000,3.4730000,3.4500000,3.4500000,451900
SNGSP,D,20000726,000000,3.4100000,3.4700000,3.4000000,3.4400000,1598600
SNGSP,D,20000727,000000,3.4410000,3.4600000,3.4320000,3.4550000,433700
SNGSP,D,20000728,000000,3.4550000,3.4890000,3.4500000,3.4500000,550700
SNGSP,D,20000731,000000,3.4700000,3.5150000,3.4600000,3.4760000,426600
SNGSP,D,20000801,000000,3.5900000,3.5900000,3.4900000,3.5200000,481600
SNGSP,D,20000802,000000,3.5290000,3.5550000,3.4600000,3.5300000,861000
SNGSP,D,20000803,000000,3.5600000,3.5600000,3.4900000,3.4900000,409500
SNGSP,D,20000804,000000,3.5250000,3.5490000,3.5200000,3.5480000,602200
SNGSP,D,20000807,000000,3.5780000,3.6000000,3.5420000,3.5500000,1024800
SNGSP,D,20000808,000000,3.5300000,3.5800000,3.5300000,3.5800000,952800
SNGSP,D,20000809,000000,3.5100000,3.5850000,3.4500000,3.5700000,1256200
SNGSP,D,20000810,000000,3.5890000,3.6300000,3.5400000,3.5600000,671000
SNGSP,D,20000811,000000,3.5990000,3.7770000,3.5800000,3.7400000,2454700
SNGSP,D,20000814,000000,3.7600000,3.9350000,3.7100000,3.9300000,3051000
SNGSP,D,20000815,000000,3.9790000,4.1000000,3.8750000,4.0490000,2874600
SNGSP,D,20000816,000000,4.0200000,4.1490000,4.0070000,4.0800000,2034200
SNGSP,D,20000817,000000,4.0100000,4.0800000,3.9300000,4.0200000,1273700
SNGSP,D,20000818,000000,4.0890000,4.1200000,3.9600000,4.0000000,1239000
SNGSP,D,20000821,000000,3.9500000,4.0200000,3.9350000,4.0000000,1316100
SNGSP,D,20000822,000000,4.0300000,4.1650000,4.0100000,4.1450000,1720600
SNGSP,D,20000823,000000,4.1590000,4.2600000,4.1000000,4.1400000,2494400
SNGSP,D,20000824,000000,4.2500000,4.4500000,4.2500000,4.4490000,4345200
SNGSP,D,20000825,000000,4.4800000,4.5200000,4.3890000,4.4210000,2276400
SNGSP,D,20000828,000000,4.4000000,4.4400000,4.3500000,4.4210000,878700
SNGSP,D,20000829,000000,4.4800000,4.6300000,4.4660000,4.5980000,1820400
SNGSP,D,20000830,000000,4.5800000,4.6350000,4.3600000,4.4250000,821300
SNGSP,D,20000831,000000,4.4500000,4.5000000,3.8500000,4.4270000,827200
SNGSP,D,20000901,000000,4.4800000,4.4800000,4.1900000,4.2110000,1640300
SNGSP,D,20000904,000000,4.2500000,4.3700000,4.1300000,4.3200000,861200
SNGSP,D,20000905,000000,4.3000000,4.3930000,4.2700000,4.2740000,733000
SNGSP,D,20000906,000000,4.3200000,4.3200000,4.2400000,4.2700000,350100
SNGSP,D,20000907,000000,4.2300000,4.2880000,4.1100000,4.1120000,663900
SNGSP,D,20000908,000000,4.1000000,4.1390000,4.0100000,4.0550000,979700
SNGSP,D,20000911,000000,4.0890000,4.0900000,3.9300000,4.0110000,1195300
SNGSP,D,20000912,000000,4.0110000,4.0990000,3.9520000,4.0200000,920200
SNGSP,D,20000913,000000,3.9600000,4.0480000,3.8800000,3.8800000,905900
SNGSP,D,20000914,000000,3.8650000,4.0800000,3.6650000,4.0800000,1187600
