<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
STSBP,D,20081218,000000,0.2700000,0.2700000,0.2700000,0.2700000,100
STSBP,D,20081224,000000,0.2700000,0.2700000,0.1620000,0.1620000,300
STSBP,D,20081225,000000,0.1300000,0.1300000,0.1300000,0.1300000,1000
STSBP,D,20081226,000000,0.0780000,0.0780000,0.0780000,0.0780000,1300600
STSBP,D,20081230,000000,0.0470000,0.0470000,0.0470000,0.0470000,103800
STSBP,D,20081231,000000,0.0470000,0.0470000,0.0470000,0.0470000,500
STSBP,D,20090111,000000,0.0280000,0.0280000,0.0280000,0.0280000,1000
STSBP,D,20090112,000000,0.0350000,0.0350000,0.0210000,0.0210000,4500
STSBP,D,20090113,000000,0.0200000,0.0200000,0.0160000,0.0160000,7600
STSBP,D,20090115,000000,0.0240000,0.0240000,0.0240000,0.0240000,2700
STSBP,D,20090116,000000,0.0340000,0.0340000,0.0340000,0.0340000,201100
STSBP,D,20090119,000000,0.0440000,0.0480000,0.0440000,0.0480000,205600
STSBP,D,20090120,000000,0.0480000,0.0500000,0.0480000,0.0480000,521600
STSBP,D,20090121,000000,0.0480000,0.0480000,0.0320000,0.0320000,341300
STSBP,D,20090123,000000,0.0340000,0.0340000,0.0340000,0.0340000,500
STSBP,D,20090127,000000,0.0400000,0.0400000,0.0400000,0.0400000,100
STSBP,D,20090129,000000,0.0300000,0.0400000,0.0300000,0.0400000,153500
STSBP,D,20090204,000000,0.0400000,0.0400000,0.0400000,0.0400000,250000
STSBP,D,20090227,000000,0.0430000,0.0430000,0.0430000,0.0430000,65500
STSBP,D,20090312,000000,0.0350000,0.0400000,0.0350000,0.0400000,6000
STSBP,D,20090313,000000,0.0350000,0.0400000,0.0350000,0.0400000,6000
STSBP,D,20090316,000000,0.0350000,0.0400000,0.0350000,0.0400000,6000
STSBP,D,20090317,000000,0.0310000,0.0400000,0.0310000,0.0400000,7000
STSBP,D,20090318,000000,0.0350000,0.0410000,0.0350000,0.0410000,7000
STSBP,D,20090319,000000,0.0350000,0.0400000,0.0350000,0.0400000,6000
STSBP,D,20090320,000000,0.0350000,0.0400000,0.0240000,0.0400000,28100
STSBP,D,20090323,000000,0.0380000,0.0380000,0.0370000,0.0370000,202200
STSBP,D,20090325,000000,0.0220000,0.0500000,0.0220000,0.0500000,1002900
STSBP,D,20090326,000000,0.0500000,0.0500000,0.0400000,0.0400000,341700
STSBP,D,20090410,000000,0.0560000,0.0560000,0.0400000,0.0400000,270100
STSBP,D,20090413,000000,0.0390000,0.0550000,0.0390000,0.0430000,2764700
STSBP,D,20090414,000000,0.0460000,0.0510000,0.0460000,0.0460000,205300
STSBP,D,20090415,000000,0.0460000,0.0480000,0.0420000,0.0440000,1154900
STSBP,D,20090416,000000,0.0490000,0.0490000,0.0420000,0.0470000,84900
STSBP,D,20090417,000000,0.0280000,0.0460000,0.0280000,0.0450000,240200
STSBP,D,20090422,000000,0.0340000,0.0450000,0.0340000,0.0450000,7100
STSBP,D,20090423,000000,0.0440000,0.0440000,0.0430000,0.0440000,10200
STSBP,D,20090424,000000,0.0410000,0.0420000,0.0390000,0.0420000,4000
STSBP,D,20090427,000000,0.0370000,0.0410000,0.0370000,0.0400000,2400
